x_rd,y_rd
82265.25,449879.25
82265.75,449879.25
82266.25,449879.25
82266.75,449879.25
82267.25,449879.25
82267.75,449879.25
82268.25,449879.25
82268.75,449879.25
82269.25,449879.25
82269.75,449879.25
82270.25,449879.25
82270.75,449879.25
82271.25,449879.25
82271.75,449879.25
82272.25,449879.25
82272.75,449879.25
82273.25,449879.25
82273.75,449879.25
82274.25,449879.25
82274.75,449879.25
82275.25,449879.25
82275.75,449879.25
82276.25,449879.25
82276.75,449879.25
82277.25,449879.25
82277.75,449879.25
82278.25,449879.25
82258.25,449878.75
82258.75,449878.75
82259.25,449878.75
82259.75,449878.75
82260.25,449878.75
82260.75,449878.75
82261.25,449878.75
82261.75,449878.75
82262.25,449878.75
82262.75,449878.75
82263.25,449878.75
82263.75,449878.75
82264.25,449878.75
82264.75,449878.75
82265.25,449878.75
82265.75,449878.75
82266.25,449878.75
82267.25,449878.75
82267.75,449878.75
82268.25,449878.75
82268.75,449878.75
82269.25,449878.75
82269.75,449878.75
82270.25,449878.75
82270.75,449878.75
82271.25,449878.75
82271.75,449878.75
82272.25,449878.75
82272.75,449878.75
82273.25,449878.75
82273.75,449878.75
82274.25,449878.75
82274.75,449878.75
82275.25,449878.75
82275.75,449878.75
82276.25,449878.75
82276.75,449878.75
82277.25,449878.75
82277.75,449878.75
82278.25,449878.75
82258.75,449878.25
82259.25,449878.25
82259.75,449878.25
82260.25,449878.25
82260.75,449878.25
82261.25,449878.25
82261.75,449878.25
82262.25,449878.25
82262.75,449878.25
82263.25,449878.25
82263.75,449878.25
82264.25,449878.25
82264.75,449878.25
82265.25,449878.25
82265.75,449878.25
82266.25,449878.25
82267.75,449878.25
82268.25,449878.25
82268.75,449878.25
82269.25,449878.25
82269.75,449878.25
82270.25,449878.25
82270.75,449878.25
82271.25,449878.25
82271.75,449878.25
82272.25,449878.25
82272.75,449878.25
82273.25,449878.25
82273.75,449878.25
82274.25,449878.25
82274.75,449878.25
82275.25,449878.25
82275.75,449878.25
82276.25,449878.25
82276.75,449878.25
82277.25,449878.25
82277.75,449878.25
82278.25,449878.25
82278.75,449878.25
82258.75,449877.75
82259.25,449877.75
82259.75,449877.75
82260.25,449877.75
82260.75,449877.75
82261.25,449877.75
82261.75,449877.75
82262.25,449877.75
82262.75,449877.75
82263.25,449877.75
82264.25,449877.75
82264.75,449877.75
82265.25,449877.75
82265.75,449877.75
82266.25,449877.75
82266.75,449877.75
82267.25,449877.75
82267.75,449877.75
82268.25,449877.75
82268.75,449877.75
82269.25,449877.75
82269.75,449877.75
82270.25,449877.75
82270.75,449877.75
82271.25,449877.75
82271.75,449877.75
82272.25,449877.75
82272.75,449877.75
82273.25,449877.75
82273.75,449877.75
82274.25,449877.75
82274.75,449877.75
82275.25,449877.75
82275.75,449877.75
82276.25,449877.75
82276.75,449877.75
82277.25,449877.75
82277.75,449877.75
82278.25,449877.75
82278.75,449877.75
82279.25,449877.75
82258.75,449877.25
82259.25,449877.25
82259.75,449877.25
82260.25,449877.25
82260.75,449877.25
82261.25,449877.25
82261.75,449877.25
82262.25,449877.25
82263.25,449877.25
82263.75,449877.25
82264.25,449877.25
82264.75,449877.25
82265.25,449877.25
82265.75,449877.25
82266.25,449877.25
82266.75,449877.25
82267.75,449877.25
82268.25,449877.25
82268.75,449877.25
82269.25,449877.25
82269.75,449877.25
82270.25,449877.25
82270.75,449877.25
82271.25,449877.25
82271.75,449877.25
82272.25,449877.25
82272.75,449877.25
82273.25,449877.25
82273.75,449877.25
82274.25,449877.25
82274.75,449877.25
82275.25,449877.25
82275.75,449877.25
82276.25,449877.25
82276.75,449877.25
82277.25,449877.25
82277.75,449877.25
82278.25,449877.25
82278.75,449877.25
82279.25,449877.25
82259.75,449876.75
82260.25,449876.75
82260.75,449876.75
82261.25,449876.75
82261.75,449876.75
82262.25,449876.75
82262.75,449876.75
82263.25,449876.75
82263.75,449876.75
82264.25,449876.75
82264.75,449876.75
82265.25,449876.75
82265.75,449876.75
82266.25,449876.75
82266.75,449876.75
82267.25,449876.75
82267.75,449876.75
82268.25,449876.75
82268.75,449876.75
82269.25,449876.75
82269.75,449876.75
82270.25,449876.75
82270.75,449876.75
82271.25,449876.75
82271.75,449876.75
82272.25,449876.75
82272.75,449876.75
82273.25,449876.75
82273.75,449876.75
82274.25,449876.75
82274.75,449876.75
82275.25,449876.75
82275.75,449876.75
82276.25,449876.75
82276.75,449876.75
82277.25,449876.75
82277.75,449876.75
82278.25,449876.75
82278.75,449876.75
82279.25,449876.75
82279.75,449876.75
82261.25,449876.25
82261.75,449876.25
82262.25,449876.25
82262.75,449876.25
82263.25,449876.25
82263.75,449876.25
82264.25,449876.25
82264.75,449876.25
82265.25,449876.25
82265.75,449876.25
82266.25,449876.25
82266.75,449876.25
82267.25,449876.25
82267.75,449876.25
82268.25,449876.25
82268.75,449876.25
82269.25,449876.25
82269.75,449876.25
82270.25,449876.25
82270.75,449876.25
82271.25,449876.25
82271.75,449876.25
82272.25,449876.25
82272.75,449876.25
82273.25,449876.25
82273.75,449876.25
82274.25,449876.25
82274.75,449876.25
82275.25,449876.25
82275.75,449876.25
82276.25,449876.25
82276.75,449876.25
82277.25,449876.25
82277.75,449876.25
82278.25,449876.25
82278.75,449876.25
82279.25,449876.25
82279.75,449876.25
82280.25,449876.25
82260.25,449875.75
82260.75,449875.75
82261.25,449875.75
82262.25,449875.75
82262.75,449875.75
82263.25,449875.75
82263.75,449875.75
82264.25,449875.75
82265.25,449875.75
82265.75,449875.75
82266.25,449875.75
82267.25,449875.75
82267.75,449875.75
82268.25,449875.75
82268.75,449875.75
82269.25,449875.75
82269.75,449875.75
82270.25,449875.75
82270.75,449875.75
82271.25,449875.75
82271.75,449875.75
82272.25,449875.75
82272.75,449875.75
82273.25,449875.75
82273.75,449875.75
82274.25,449875.75
82274.75,449875.75
82275.25,449875.75
82275.75,449875.75
82276.25,449875.75
82276.75,449875.75
82277.25,449875.75
82277.75,449875.75
82278.25,449875.75
82278.75,449875.75
82279.25,449875.75
82279.75,449875.75
82280.25,449875.75
82261.75,449875.25
82262.25,449875.25
82262.75,449875.25
82263.25,449875.25
82263.75,449875.25
82264.25,449875.25
82265.25,449875.25
82265.75,449875.25
82266.25,449875.25
82266.75,449875.25
82267.25,449875.25
82267.75,449875.25
82268.25,449875.25
82268.75,449875.25
82269.25,449875.25
82269.75,449875.25
82270.25,449875.25
82270.75,449875.25
82271.25,449875.25
82271.75,449875.25
82272.25,449875.25
82272.75,449875.25
82273.25,449875.25
82273.75,449875.25
82274.25,449875.25
82274.75,449875.25
82275.25,449875.25
82275.75,449875.25
82276.25,449875.25
82276.75,449875.25
82277.25,449875.25
82277.75,449875.25
82278.25,449875.25
82278.75,449875.25
82279.25,449875.25
82279.75,449875.25
82280.25,449875.25
82280.75,449875.25
82290.75,449875.25
82261.25,449874.75
82261.75,449874.75
82262.25,449874.75
82262.75,449874.75
82263.25,449874.75
82263.75,449874.75
82264.25,449874.75
82264.75,449874.75
82265.25,449874.75
82265.75,449874.75
82266.25,449874.75
82266.75,449874.75
82267.25,449874.75
82267.75,449874.75
82268.25,449874.75
82268.75,449874.75
82269.25,449874.75
82269.75,449874.75
82270.25,449874.75
82270.75,449874.75
82271.25,449874.75
82271.75,449874.75
82272.25,449874.75
82272.75,449874.75
82273.25,449874.75
82273.75,449874.75
82274.25,449874.75
82274.75,449874.75
82275.25,449874.75
82275.75,449874.75
82276.25,449874.75
82276.75,449874.75
82277.25,449874.75
82277.75,449874.75
82278.25,449874.75
82278.75,449874.75
82279.25,449874.75
82279.75,449874.75
82280.25,449874.75
82280.75,449874.75
82289.75,449874.75
82290.25,449874.75
82290.75,449874.75
82291.25,449874.75
82262.25,449874.25
82262.75,449874.25
82263.25,449874.25
82263.75,449874.25
82264.25,449874.25
82264.75,449874.25
82265.25,449874.25
82266.25,449874.25
82266.75,449874.25
82267.25,449874.25
82267.75,449874.25
