y [m],Ixx [m^4],Iyy [m^4],Ixy [m^4],x_c [m],y_c [m],mass [kg]
0.0,1.7107199999999961e-07,1.1879999999999974e-05,1.3234889800848443e-23,0.0,0.0,0.07919999999999983
0.16666666666666666,1.2981534719999972e-07,9.014954666666646e-06,0.0,0.0,0.0,0.06899199999999985
0.3333333333333333,9.651333119999979e-08,6.702314666666654e-06,-6.617444900424222e-24,0.0,0.0,0.05948799999999989
0.5,7.007109119999986e-08,4.866047999999991e-06,-6.617444900424222e-24,0.0,0.0,0.050687999999999886
0.6666666666666666,4.94748671999999e-08,3.4357546666666597e-06,-3.308722450212111e-24,0.0,0.0,0.042591999999999915
0.8333333333333334,3.379199999999994e-08,2.346666666666663e-06,0.0,0.0,0.0,0.03519999999999995
1.0,2.217093119999996e-08,1.5396479999999974e-06,0.0,0.0,0.0,0.02851199999999996
1.1666666666666667,1.384120319999997e-08,9.611946666666648e-07,0.0,0.0,0.0,0.022527999999999944
1.3333333333333333,8.113459199999982e-09,5.634346666666654e-07,0.0,0.0,0.0,0.01724799999999996
1.5,4.3794431999999914e-09,3.041279999999994e-07,-4.1359030627651384e-25,0.0,0.0,0.012671999999999971
