Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_320,180,320,-0.3,20.0,822.01,2748235.68,2140026.82,4888262.50,334330.00,218.0
depot_180_340,180,340,-0.3,20.0,827.22,2765661.18,2149520.07,4915181.25,334330.00,220.0
depot_180_360,180,360,-0.3,20.0,816.01,2728180.64,2157344.36,4885525.00,334330.00,219.0
depot_180_380,180,380,-0.3,20.0,833.80,2787632.94,2166329.56,4953962.50,334330.00,222.0
depot_180_400,180,400,-0.3,20.0,831.61,2780308.97,2172284.78,4952593.75,334330.00,220.0
depot_180_420,180,420,-0.3,20.0,830.14,2775406.03,2178556.47,4953962.50,334330.00,221.0
depot_180_440,180,440,-0.3,20.0,813.00,2718097.17,2181115.33,4899212.50,334330.00,217.0
depot_180_460,180,460,-0.3,20.0,819.83,2740942.04,2184732.96,4925675.00,334330.00,220.0
depot_180_480,180,480,-0.3,20.0,815.03,2724900.36,2184349.64,4909250.00,334330.00,219.0
depot_200_320,200,320,-0.3,20.0,814.18,2722047.98,2144314.52,4866362.50,334330.00,218.0
depot_200_340,200,340,-0.3,20.0,825.24,2759027.04,2154785.46,4913812.50,334330.00,221.0
depot_200_360,200,360,-0.3,20.0,827.41,2766269.97,2163967.53,4930237.50,334330.00,221.0
depot_200_380,200,380,-0.3,20.0,821.47,2746405.63,2171969.37,4918375.00,334330.00,220.0
depot_200_400,200,400,-0.3,20.0,816.83,2730905.88,2178800.37,4909706.25,334330.00,218.0
depot_200_420,200,420,-0.3,20.0,802.06,2681519.29,2185299.46,4866818.75,334330.00,217.0
depot_200_440,200,440,-0.3,20.0,827.27,2765826.09,2192698.91,4958525.00,334330.00,222.0
depot_200_460,200,460,-0.3,20.0,808.73,2703841.40,2193546.10,4897387.50,334330.00,217.0
depot_200_480,200,480,-0.3,20.0,824.75,2757392.82,2195200.93,4952593.75,334330.00,221.0
depot_220_320,220,320,-0.3,20.0,827.41,2766290.87,2148890.38,4915181.25,334330.00,220.0
depot_220_340,220,340,-0.3,20.0,818.54,2736628.84,2158021.16,4894650.00,334330.00,219.0
depot_220_360,220,360,-0.3,20.0,821.41,2746220.07,2167592.43,4913812.50,334330.00,219.0
depot_220_380,220,380,-0.3,20.0,800.93,2677758.38,2175372.87,4853131.25,334330.00,216.0
depot_220_400,220,400,-0.3,20.0,812.53,2716537.70,2184043.55,4900581.25,334330.00,216.0
depot_220_420,220,420,-0.3,20.0,817.03,2731575.50,2194099.50,4925675.00,334330.00,220.0
depot_220_440,220,440,-0.3,20.0,815.77,2727351.26,2200148.74,4927500.00,334330.00,219.0
depot_220_460,220,460,-0.3,20.0,832.65,2783789.72,2205760.28,4989550.00,334330.00,222.0
depot_220_480,220,480,-0.3,20.0,813.28,2719038.68,2205267.57,4924306.25,334330.00,221.0
depot_240_320,240,320,-0.3,20.0,812.76,2717300.02,2149062.48,4866362.50,334330.00,216.0
depot_240_340,240,340,-0.3,20.0,810.51,2709790.50,2159309.50,4869100.00,334330.00,216.0
depot_240_360,240,360,-0.3,20.0,810.56,2709953.18,2169640.57,4879593.75,334330.00,217.0
depot_240_380,240,380,-0.3,20.0,808.88,2704336.90,2179819.35,4884156.25,334330.00,218.0
depot_240_400,240,400,-0.3,20.0,804.91,2691054.68,2188539.07,4879593.75,334330.00,216.0
depot_240_420,240,420,-0.3,20.0,798.90,2670967.85,2198588.40,4869556.25,334330.00,217.0
depot_240_440,240,440,-0.3,20.0,809.89,2707700.88,2207480.37,4915181.25,334330.00,218.0
depot_240_460,240,460,-0.3,20.0,816.17,2728685.29,2214783.46,4943468.75,334330.00,220.0
depot_240_480,240,480,-0.3,20.0,819.37,2739397.82,2214564.68,4953962.50,334330.00,220.0
depot_260_320,260,320,-0.3,20.0,829.24,2772381.73,2151924.52,4924306.25,334330.00,220.0
depot_260_340,260,340,-0.3,20.0,816.22,2728869.85,2161217.65,4890087.50,334330.00,218.0
depot_260_360,260,360,-0.3,20.0,810.29,2709048.89,2170544.86,4879593.75,334330.00,216.0
depot_260_380,260,380,-0.3,20.0,798.11,2668329.46,2180239.29,4848568.75,334330.00,215.0
depot_260_400,260,400,-0.3,20.0,806.95,2697879.85,2190838.90,4888718.75,334330.00,216.0
depot_260_420,260,420,-0.3,20.0,802.41,2682709.48,2201446.77,4884156.25,334330.00,217.0
depot_260_440,260,440,-0.3,20.0,825.11,2758574.97,2213181.28,4971756.25,334330.00,221.0
depot_260_460,260,460,-0.3,20.0,795.13,2658367.62,2221226.13,4879593.75,334330.00,217.0
depot_260_480,260,480,-0.3,20.0,803.58,2686606.51,2221274.74,4907881.25,334330.00,217.0
depot_280_320,280,320,-0.3,20.0,821.22,2745571.10,2151816.40,4897387.50,334330.00,220.0
depot_280_340,280,340,-0.3,20.0,818.11,2735179.81,2160838.94,4896018.75,334330.00,218.0
depot_280_360,280,360,-0.3,20.0,805.09,2691667.78,2170132.22,4861800.00,334330.00,216.0
depot_280_380,280,380,-0.3,20.0,823.80,2754222.72,2181946.03,4936168.75,334330.00,220.0
depot_280_400,280,400,-0.3,20.0,802.16,2681851.78,2190441.97,4872293.75,334330.00,217.0
depot_280_420,280,420,-0.3,20.0,806.69,2697021.41,2200366.09,4897387.50,334330.00,217.0
depot_280_440,280,440,-0.3,20.0,790.80,2643886.87,2209244.38,4853131.25,334330.00,216.0
depot_280_460,280,460,-0.3,20.0,811.30,2712430.63,2219175.62,4931606.25,334330.00,220.0
depot_280_480,280,480,-0.3,20.0,787.98,2634460.50,2217302.00,4851762.50,334330.00,216.0
