Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_200_300,200,300,-0.3,20.0,1866.55,6240422.95,2217539.55,8457962.50,334330.00,392.0
depot_200_350,200,350,-0.3,20.0,1876.67,6274284.62,2242534.13,8516818.75,334330.00,395.0
depot_200_400,200,400,-0.3,20.0,1976.26,6607221.37,2270491.13,8877712.50,334330.00,409.0
depot_200_450,200,450,-0.3,20.0,1937.60,6477971.60,2281572.15,8759543.75,334330.00,402.0
depot_200_500,200,500,-0.3,20.0,1898.18,6346169.45,2281518.05,8627687.50,334330.00,404.0
depot_250_300,250,300,-0.3,20.0,1877.40,6276715.05,2223678.70,8500393.75,334330.00,393.0
depot_250_350,250,350,-0.3,20.0,2031.10,6790590.85,2258215.40,9048806.25,334330.00,412.0
depot_250_400,250,400,-0.3,20.0,1915.62,6404476.49,2278417.26,8682893.75,334330.00,401.0
depot_250_450,250,450,-0.3,20.0,2009.57,6718589.42,2308316.83,9026906.25,334330.00,413.0
depot_250_500,250,500,-0.3,20.0,1934.71,6468316.58,2301720.92,8770037.50,334330.00,405.0
depot_300_300,300,300,-0.3,20.0,1898.96,6348789.26,2225973.24,8574762.50,334330.00,401.0
depot_300_350,300,350,-0.3,20.0,1937.15,6476464.74,2249772.76,8726237.50,334330.00,399.0
depot_300_400,300,400,-0.3,20.0,1786.33,5972251.84,2267166.91,8239418.75,334330.00,385.0
depot_300_450,300,450,-0.3,20.0,1923.47,6430730.86,2294594.14,8725325.00,334330.00,402.0
depot_300_500,300,500,-0.3,20.0,1886.32,6306524.20,2290594.55,8597118.75,334330.00,397.0
depot_350_300,350,300,-0.3,20.0,1875.79,6271327.16,2212641.59,8483968.75,334330.00,391.0
depot_350_350,350,350,-0.3,20.0,1791.38,5989133.48,2232947.77,8222081.25,334330.00,387.0
depot_350_400,350,400,-0.3,20.0,1914.78,6401676.96,2256123.04,8657800.00,334330.00,396.0
depot_350_450,350,450,-0.3,20.0,1922.96,6429021.39,2270297.36,8699318.75,334330.00,401.0
depot_350_500,350,500,-0.3,20.0,1822.44,6092973.77,2261876.23,8354850.00,334330.00,385.0
depot_400_300,400,300,-0.3,20.0,1729.72,5782981.38,2189987.37,7972968.75,334330.00,372.0
depot_400_350,400,350,-0.3,20.0,1841.13,6155453.07,2219015.68,8374468.75,334330.00,394.0
depot_400_400,400,400,-0.3,20.0,1787.90,5977490.87,2229077.88,8206568.75,334330.00,384.0
depot_400_450,400,450,-0.3,20.0,1842.70,6160683.99,2239334.76,8400018.75,334330.00,389.0
depot_400_500,400,500,-0.3,20.0,1938.41,6480679.40,2242364.35,8723043.75,334330.00,396.0
