Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_280,180,280,-0.3,10.0,1273.48,2428401.10,1761342.65,4189743.75,190690.00,196.0
depot_180_300,180,300,-0.3,10.0,1285.76,2451811.11,1769870.14,4221681.25,190690.00,194.0
depot_180_320,180,320,-0.3,10.0,1266.57,2415230.35,1778163.40,4193393.75,190690.00,193.0
depot_180_340,180,340,-0.3,10.0,1384.11,2639367.94,1792188.31,4431556.25,190690.00,204.0
depot_180_360,180,360,-0.3,10.0,1296.91,2473079.04,1797420.96,4270500.00,190690.00,197.0
depot_180_380,180,380,-0.3,10.0,1267.46,2416917.78,1803850.97,4220768.75,190690.00,194.0
depot_180_400,180,400,-0.3,10.0,1358.40,2590341.74,1814752.01,4405093.75,190690.00,203.0
depot_180_420,180,420,-0.3,10.0,1287.89,2455875.94,1817361.56,4273237.50,190690.00,196.0
depot_180_440,180,440,-0.3,10.0,1267.18,2416385.15,1819439.85,4235825.00,190690.00,191.0
depot_180_460,180,460,-0.3,10.0,1287.80,2455703.63,1824377.62,4280081.25,190690.00,197.0
depot_180_480,180,480,-0.3,10.0,1266.05,2414233.50,1823416.50,4237650.00,190690.00,195.0
depot_200_280,200,280,-0.3,10.0,1238.53,2361746.00,1761841.50,4123587.50,190690.00,189.0
depot_200_300,200,300,-0.3,10.0,1308.90,2495939.92,1775928.83,4271868.75,190690.00,198.0
depot_200_320,200,320,-0.3,10.0,1313.79,2505271.38,1783934.87,4289206.25,190690.00,195.0
depot_200_340,200,340,-0.3,10.0,1302.48,2483704.60,1793182.90,4276887.50,190690.00,195.0
depot_200_360,200,360,-0.3,10.0,1301.72,2482247.92,1803764.58,4286012.50,190690.00,199.0
depot_200_380,200,380,-0.3,10.0,1318.36,2513982.84,1813548.41,4327531.25,190690.00,201.0
depot_200_400,200,400,-0.3,10.0,1280.77,2442303.57,1819527.68,4261831.25,190690.00,197.0
depot_200_420,200,420,-0.3,10.0,1265.53,2413235.06,1826239.94,4239475.00,190690.00,197.0
depot_200_440,200,440,-0.3,10.0,1255.15,2393443.94,1830518.56,4223962.50,190690.00,195.0
depot_200_460,200,460,-0.3,10.0,1287.67,2455449.86,1834212.64,4289662.50,190690.00,196.0
depot_200_480,200,480,-0.3,10.0,1236.14,2357191.57,1833008.43,4190200.00,190690.00,194.0
depot_220_280,220,280,-0.3,10.0,1259.40,2401557.55,1765829.95,4167387.50,190690.00,191.0
depot_220_300,220,300,-0.3,10.0,1298.70,2476488.98,1778042.27,4254531.25,190690.00,196.0
depot_220_320,220,320,-0.3,10.0,1289.21,2458403.60,1787458.90,4245862.50,190690.00,196.0
depot_220_340,220,340,-0.3,10.0,1335.61,2546880.38,1799813.37,4346693.75,190690.00,201.0
depot_220_360,220,360,-0.3,10.0,1356.57,2586845.90,1810947.85,4397793.75,190690.00,204.0
depot_220_380,220,380,-0.3,10.0,1280.58,2441940.83,1815784.17,4257725.00,190690.00,195.0
depot_220_400,220,400,-0.3,10.0,1308.54,2495259.38,1824515.62,4319775.00,190690.00,195.0
depot_220_420,220,420,-0.3,10.0,1295.96,2471260.68,1835283.07,4306543.75,190690.00,200.0
depot_220_440,220,440,-0.3,10.0,1277.87,2436765.93,1840577.82,4277343.75,190690.00,197.0
depot_220_460,220,460,-0.3,10.0,1317.83,2512968.99,1844674.76,4357643.75,190690.00,197.0
depot_220_480,220,480,-0.3,10.0,1342.45,2559914.13,1846548.37,4406462.50,190690.00,201.0
depot_240_280,240,280,-0.3,10.0,1275.78,2432780.87,1767912.88,4200693.75,190690.00,192.0
depot_240_300,240,300,-0.3,10.0,1240.11,2364770.85,1777522.90,4142293.75,190690.00,191.0
depot_240_320,240,320,-0.3,10.0,1308.73,2495614.06,1789942.19,4285556.25,190690.00,196.0
depot_240_340,240,340,-0.3,10.0,1334.65,2545038.56,1801655.19,4346693.75,190690.00,199.0
depot_240_360,240,360,-0.3,10.0,1336.41,2548394.99,1812442.51,4360837.50,190690.00,201.0
depot_240_380,240,380,-0.3,10.0,1310.53,2499058.17,1820716.83,4319775.00,190690.00,197.0
depot_240_400,240,400,-0.3,10.0,1309.59,2497255.13,1831644.87,4328900.00,190690.00,200.0
depot_240_420,240,420,-0.3,10.0,1303.65,2485922.13,1839327.87,4325250.00,190690.00,196.0
depot_240_440,240,440,-0.3,10.0,1258.68,2400185.69,1847958.06,4248143.75,190690.00,196.0
depot_240_460,240,460,-0.3,10.0,1267.26,2416540.29,1853959.71,4270500.00,190690.00,196.0
depot_240_480,240,480,-0.3,10.0,1269.49,2420792.39,1853813.86,4274606.25,190690.00,196.0
depot_260_280,260,280,-0.3,10.0,1291.62,2462992.04,1769639.21,4232631.25,190690.00,194.0
depot_260_300,260,300,-0.3,10.0,1275.40,2432058.11,1780041.89,4212100.00,190690.00,194.0
depot_260_320,260,320,-0.3,10.0,1326.02,2528589.14,1792554.61,4321143.75,190690.00,199.0
depot_260_340,260,340,-0.3,10.0,1280.74,2442238.39,1799517.86,4241756.25,190690.00,192.0
depot_260_360,260,360,-0.3,10.0,1269.90,2421577.85,1811509.65,4233087.50,190690.00,196.0
depot_260_380,260,380,-0.3,10.0,1265.98,2414103.90,1822177.35,4236281.25,190690.00,197.0
depot_260_400,260,400,-0.3,10.0,1294.69,2468845.27,1832679.73,4301525.00,190690.00,198.0
depot_260_420,260,420,-0.3,10.0,1281.60,2443887.03,1843037.97,4286925.00,190690.00,198.0
depot_260_440,260,440,-0.3,10.0,1269.42,2420649.03,1852588.47,4273237.50,190690.00,197.0
depot_260_460,260,460,-0.3,10.0,1282.07,2444784.78,1862671.47,4307456.25,190690.00,198.0
depot_260_480,260,480,-0.3,10.0,1326.16,2528862.86,1864824.64,4393687.50,190690.00,202.0
depot_280_280,280,280,-0.3,10.0,1261.90,2406313.83,1768373.67,4174687.50,190690.00,192.0
depot_280_300,280,300,-0.3,10.0,1233.30,2351783.53,1777735.22,4129518.75,190690.00,190.0
depot_280_320,280,320,-0.3,10.0,1305.76,2489958.10,1791035.65,4280993.75,190690.00,197.0
depot_280_340,280,340,-0.3,10.0,1297.28,2473775.80,1799917.95,4273693.75,190690.00,194.0
depot_280_360,280,360,-0.3,10.0,1230.62,2346660.63,1809320.62,4155981.25,190690.00,192.0
