Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_280,180,280,-0.3,10.0,1236.33,2357548.65,1756913.85,4114462.50,190690.00,186.0
depot_180_300,180,300,-0.3,10.0,1367.51,2607702.75,1771841.00,4379543.75,190690.00,198.0
depot_180_320,180,320,-0.3,10.0,1321.02,2519048.72,1778826.28,4297875.00,190690.00,194.0
depot_180_340,180,340,-0.3,10.0,1298.17,2475489.11,1787710.89,4263200.00,190690.00,194.0
depot_180_360,180,360,-0.3,10.0,1314.49,2506591.92,1796301.83,4302893.75,190690.00,195.0
depot_180_380,180,380,-0.3,10.0,1318.78,2514786.21,1804532.54,4319318.75,190690.00,196.0
depot_180_400,180,400,-0.3,10.0,1250.24,2384080.27,1810225.98,4194306.25,190690.00,193.0
depot_180_420,180,420,-0.3,10.0,1357.74,2589076.64,1818754.61,4407831.25,190690.00,199.0
depot_180_440,180,440,-0.3,10.0,1284.65,2449691.40,1820808.60,4270500.00,190690.00,194.0
depot_180_460,180,460,-0.3,10.0,1283.92,2448306.40,1822649.85,4270956.25,190690.00,193.0
depot_180_480,180,480,-0.3,10.0,1296.35,2472007.09,1823130.41,4295137.50,190690.00,194.0
depot_200_280,200,280,-0.3,10.0,1282.28,2445178.97,1762814.78,4207993.75,190690.00,191.0
depot_200_300,200,300,-0.3,10.0,1313.87,2505417.40,1772838.85,4278256.25,190690.00,192.0
depot_200_320,200,320,-0.3,10.0,1263.44,2409245.72,1781410.53,4190656.25,190690.00,190.0
depot_200_340,200,340,-0.3,10.0,1261.69,2405916.78,1790670.72,4196587.50,190690.00,190.0
depot_200_360,200,360,-0.3,10.0,1310.44,2498873.93,1802651.07,4301525.00,190690.00,196.0
depot_200_380,200,380,-0.3,10.0,1293.40,2466380.45,1810050.80,4276431.25,190690.00,194.0
depot_200_400,200,400,-0.3,10.0,1291.94,2463594.93,1816486.32,4280081.25,190690.00,191.0
depot_200_420,200,420,-0.3,10.0,1255.20,2393543.38,1824031.62,4217575.00,190690.00,192.0
depot_200_440,200,440,-0.3,10.0,1294.71,2468889.73,1830810.27,4299700.00,190690.00,195.0
depot_200_460,200,460,-0.3,10.0,1309.92,2497893.26,1834200.49,4332093.75,190690.00,196.0
depot_200_480,200,480,-0.3,10.0,1234.88,2354800.93,1830380.32,4185181.25,190690.00,188.0
depot_220_280,220,280,-0.3,10.0,1301.76,2482325.96,1766730.29,4249056.25,190690.00,193.0
depot_220_300,220,300,-0.3,10.0,1262.43,2407321.30,1775122.45,4182443.75,190690.00,190.0
depot_220_320,220,320,-0.3,10.0,1222.34,2330878.91,1784039.84,4114918.75,190690.00,188.0
depot_220_340,220,340,-0.3,10.0,1318.83,2514882.11,1798049.14,4312931.25,190690.00,197.0
depot_220_360,220,360,-0.3,10.0,1305.41,2489293.48,1807669.02,4296962.50,190690.00,197.0
depot_220_380,220,380,-0.3,10.0,1253.69,2390658.51,1815510.24,4206168.75,190690.00,194.0
depot_220_400,220,400,-0.3,10.0,1304.36,2487284.35,1824734.40,4312018.75,190690.00,195.0
depot_220_420,220,420,-0.3,10.0,1260.91,2404435.02,1831389.98,4235825.00,190690.00,192.0
depot_220_440,220,440,-0.3,10.0,1326.41,2529323.91,1840182.34,4369506.25,190690.00,196.0
depot_220_460,220,460,-0.3,10.0,1271.53,2424687.43,1842618.82,4267306.25,190690.00,193.0
depot_220_480,220,480,-0.3,10.0,1304.64,2487814.47,1843823.03,4331637.50,190690.00,195.0
depot_240_280,240,280,-0.3,10.0,1276.99,2435098.58,1766507.67,4201606.25,190690.00,189.0
depot_240_300,240,300,-0.3,10.0,1257.81,2398521.19,1777535.06,4176056.25,190690.00,191.0
depot_240_320,240,320,-0.3,10.0,1239.87,2364299.15,1785750.85,4150050.00,190690.00,187.0
depot_240_340,240,340,-0.3,10.0,1246.75,2377418.11,1798181.89,4175600.00,190690.00,192.0
depot_240_360,240,360,-0.3,10.0,1318.04,2513360.98,1809151.52,4322512.50,190690.00,194.0
depot_240_380,240,380,-0.3,10.0,1286.05,2452368.29,1819956.71,4272325.00,190690.00,196.0
depot_240_400,240,400,-0.3,10.0,1284.96,2450285.69,1829795.56,4280081.25,190690.00,196.0
depot_240_420,240,420,-0.3,10.0,1285.54,2451405.14,1839626.11,4291031.25,190690.00,197.0
depot_240_440,240,440,-0.3,10.0,1251.74,2386935.75,1844783.00,4231718.75,190690.00,190.0
depot_240_460,240,460,-0.3,10.0,1360.57,2594465.64,1856253.11,4450718.75,190690.00,201.0
depot_240_480,240,480,-0.3,10.0,1342.61,2560222.58,1854908.67,4415131.25,190690.00,198.0
depot_260_280,260,280,-0.3,10.0,1272.41,2426358.34,1768404.16,4194762.50,190690.00,191.0
depot_260_300,260,300,-0.3,10.0,1258.39,2399615.74,1778265.51,4177881.25,190690.00,190.0
depot_260_320,260,320,-0.3,10.0,1249.77,2383191.25,1787846.25,4171037.50,190690.00,189.0
depot_260_340,260,340,-0.3,10.0,1330.43,2537004.69,1801020.31,4338025.00,190690.00,195.0
depot_260_360,260,360,-0.3,10.0,1254.67,2392535.86,1809070.39,4201606.25,190690.00,191.0
depot_260_380,260,380,-0.3,10.0,1334.83,2545394.51,1822742.99,4368137.50,190690.00,198.0
depot_260_400,260,400,-0.3,10.0,1250.45,2384487.64,1829893.61,4214381.25,190690.00,192.0
depot_260_420,260,420,-0.3,10.0,1272.11,2425795.04,1840598.71,4266393.75,190690.00,193.0
depot_260_440,260,440,-0.3,10.0,1214.13,2315218.82,1849431.18,4164650.00,190690.00,190.0
depot_260_460,260,460,-0.3,10.0,1232.02,2349331.29,1860031.21,4209362.50,190690.00,192.0
depot_260_480,260,480,-0.3,10.0,1279.13,2439163.92,1860992.33,4300156.25,190690.00,194.0
depot_280_280,280,280,-0.3,10.0,1313.70,2505101.30,1769504.95,4274606.25,190690.00,194.0
depot_280_300,280,300,-0.3,10.0,1258.20,2399257.84,1777710.91,4176968.75,190690.00,190.0
depot_280_320,280,320,-0.3,10.0,1342.27,2559582.04,1790305.46,4349887.50,190690.00,195.0
depot_280_340,280,340,-0.3,10.0,1310.33,2498662.92,1801037.08,4299700.00,190690.00,196.0
depot_280_360,280,360,-0.3,10.0,1312.88,2503537.70,1811218.55,4314756.25,190690.00,196.0
depot_280_380,280,380,-0.3,10.0,1223.97,2333982.93,1817892.07,4151875.00,190690.00,189.0
depot_280_400,280,400,-0.3,10.0,1216.07,2318917.18,1827939.07,4146856.25,190690.00,189.0
depot_280_420,280,420,-0.3,10.0,1228.61,2342828.48,1837790.27,4180618.75,190690.00,189.0
depot_280_440,280,440,-0.3,10.0,1243.22,2370699.81,1848700.19,4219400.00,190690.00,192.0
depot_280_460,280,460,-0.3,10.0,1184.53,2258775.20,1855231.05,4114006.25,190690.00,189.0
depot_280_480,280,480,-0.3,10.0,1295.93,2471217.54,1857226.21,4328443.75,190690.00,193.0
depot_300_280,300,280,-0.3,10.0,1268.98,2419815.59,1766734.41,4186550.00,190690.00,191.0
depot_300_300,300,300,-0.3,10.0,1269.67,2421124.82,1777287.68,4198412.50,190690.00,192.0
depot_300_320,300,320,-0.3,10.0,1234.91,2354853.69,1784702.56,4139556.25,190690.00,187.0
depot_300_340,300,340,-0.3,10.0,1312.40,2502615.52,1798453.23,4301068.75,190690.00,195.0
depot_300_360,300,360,-0.3,10.0,1311.02,2499980.13,1808388.62,4308368.75,190690.00,195.0
depot_300_380,300,380,-0.3,10.0,1274.36,2430071.72,1817615.78,4247687.50,190690.00,194.0
depot_300_400,300,400,-0.3,10.0,1230.46,2346368.10,1824669.40,4171037.50,190690.00,189.0
depot_300_420,300,420,-0.3,10.0,1237.43,2359651.17,1833742.58,4193393.75,190690.00,190.0
depot_300_440,300,440,-0.3,10.0,1260.73,2404083.25,1840866.75,4244950.00,190690.00,189.0
depot_300_460,300,460,-0.3,10.0,1314.40,2506429.37,1847564.38,4353993.75,190690.00,193.0
depot_300_480,300,480,-0.3,10.0,1233.67,2352478.65,1846390.10,4198868.75,190690.00,190.0
depot_320_280,320,280,-0.3,10.0,1272.89,2427279.42,1763833.08,4191112.50,190690.00,190.0
depot_320_300,320,300,-0.3,10.0,1311.03,2500009.82,1774596.43,4274606.25,190690.00,192.0
depot_320_320,320,320,-0.3,10.0,1277.66,2436370.10,1784854.90,4221225.00,190690.00,193.0
depot_320_340,320,340,-0.3,10.0,1232.13,2349547.68,1792289.82,4141837.50,190690.00,189.0
depot_320_360,320,360,-0.3,10.0,1305.25,2488980.89,1804331.61,4293312.50,190690.00,195.0
depot_320_380,320,380,-0.3,10.0,1309.16,2496440.03,1812841.22,4309281.25,190690.00,194.0
depot_320_400,320,400,-0.3,10.0,1214.58,2316091.55,1818445.95,4134537.50,190690.00,188.0
depot_320_420,320,420,-0.3,10.0,1252.66,2388704.09,1829327.16,4218031.25,190690.00,195.0
depot_320_440,320,440,-0.3,10.0,1300.23,2479399.10,1834900.90,4314300.00,190690.00,194.0
depot_320_460,320,460,-0.3,10.0,1296.55,2472392.64,1837801.11,4310193.75,190690.00,193.0
depot_320_480,320,480,-0.3,10.0,1323.27,2523346.79,1838859.46,4362206.25,190690.00,195.0
