Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.1,6.0, 731.96, 975213.04, 1681530.71, 2656743.75, 133234.00,126.0
centre depot-0.1,7.0, 912.41, 1346701.12, 1725230.13, 3071931.25, 147598.00,144.0
centre depot-0.1,8.0, 1017.95, 1648686.81, 1766800.69, 3415487.50, 161962.00,158.0
centre depot-0.1,9.0, 1022.20, 1802403.40, 1807446.60, 3609850.00, 176326.00,170.0
centre depot-0.1,10.0, 1029.40, 1962963.74, 1845355.01, 3808318.75, 190690.00,176.0
centre depot-0.1,11.0, 1002.23, 2055110.89, 1883239.11, 3938350.00, 205054.00,182.0
centre depot-0.1,12.0, 954.44, 2094217.12, 1921239.13, 4015456.25, 219418.00,189.0
centre depot-0.1,13.0, 950.68, 2222517.41, 1959013.84, 4181531.25, 233782.00,195.0
centre depot-0.1,14.0, 881.34, 2186999.64, 1994531.61, 4181531.25, 248146.00,196.0
centre depot-0.1,15.0, 839.79, 2204528.42, 2030384.08, 4234912.50, 262510.00,198.0
