Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_280,180,280,-0.3,10.0,1142.43,2178497.64,1752096.11,3930593.75,190690.00,176.0
depot_180_300,180,300,-0.3,10.0,1244.82,2373749.36,1764894.39,4138643.75,190690.00,184.0
depot_180_320,180,320,-0.3,10.0,1187.69,2264801.55,1770729.70,4035531.25,190690.00,177.0
depot_180_340,180,340,-0.3,10.0,1214.13,2315217.28,1783276.47,4098493.75,190690.00,185.0
depot_180_360,180,360,-0.3,10.0,1208.15,2303828.07,1788734.43,4092562.50,190690.00,179.0
depot_180_380,180,380,-0.3,10.0,1154.53,2201573.40,1796545.35,3998118.75,190690.00,179.0
depot_180_400,180,400,-0.3,10.0,1210.71,2308707.41,1805298.84,4114006.25,190690.00,183.0
depot_180_420,180,420,-0.3,10.0,1229.38,2344313.48,1810755.27,4155068.75,190690.00,182.0
depot_180_440,180,440,-0.3,10.0,1179.83,2249823.06,1814908.19,4064731.25,190690.00,182.0
depot_180_460,180,460,-0.3,10.0,1159.54,2211122.79,1815739.71,4026862.50,190690.00,179.0
depot_180_480,180,480,-0.3,10.0,1178.46,2247203.00,1817072.00,4064275.00,190690.00,182.0
depot_200_280,200,280,-0.3,10.0,1156.68,2205665.50,1757322.00,3962987.50,190690.00,180.0
depot_200_300,200,300,-0.3,10.0,1134.42,2163223.36,1764632.89,3927856.25,190690.00,175.0
depot_200_320,200,320,-0.3,10.0,1230.05,2345589.51,1777085.49,4122675.00,190690.00,181.0
depot_200_340,200,340,-0.3,10.0,1181.77,2253522.75,1785658.50,4039181.25,190690.00,180.0
depot_200_360,200,360,-0.3,10.0,1270.87,2423415.98,1798265.27,4221681.25,190690.00,187.0
depot_200_380,200,380,-0.3,10.0,1137.06,2168260.35,1803395.90,3971656.25,190690.00,180.0
depot_200_400,200,400,-0.3,10.0,1174.30,2239277.94,1811765.81,4051043.75,190690.00,181.0
depot_200_420,200,420,-0.3,10.0,1153.52,2199642.75,1817182.25,4016825.00,190690.00,178.0
depot_200_440,200,440,-0.3,10.0,1181.28,2252584.23,1824922.02,4077506.25,190690.00,183.0
depot_200_460,200,460,-0.3,10.0,1217.90,2322412.80,1828549.70,4150962.50,190690.00,185.0
depot_200_480,200,480,-0.3,10.0,1132.17,2158929.44,1825501.81,3984431.25,190690.00,178.0
depot_220_280,220,280,-0.3,10.0,1189.10,2267498.60,1759363.90,4026862.50,190690.00,178.0
depot_220_300,220,300,-0.3,10.0,1199.59,2287497.71,1769933.54,4057431.25,190690.00,179.0
depot_220_320,220,320,-0.3,10.0,1205.31,2298405.70,1780925.55,4079331.25,190690.00,182.0
depot_220_340,220,340,-0.3,10.0,1293.75,2467060.94,1794314.06,4261375.00,190690.00,189.0
depot_220_360,220,360,-0.3,10.0,1267.53,2417053.59,1801890.16,4218943.75,190690.00,185.0
depot_220_380,220,380,-0.3,10.0,1196.20,2281042.59,1809694.91,4090737.50,190690.00,182.0
depot_220_400,220,400,-0.3,10.0,1263.11,2408632.65,1821261.10,4229893.75,190690.00,188.0
depot_220_420,220,420,-0.3,10.0,1242.60,2369522.55,1828433.70,4197956.25,190690.00,186.0
depot_220_440,220,440,-0.3,10.0,1163.68,2219030.91,1832925.34,4051956.25,190690.00,181.0
depot_220_460,220,460,-0.3,10.0,1141.35,2176444.43,1836730.57,4013175.00,190690.00,181.0
depot_220_480,220,480,-0.3,10.0,1207.27,2302138.50,1837874.00,4140012.50,190690.00,183.0
depot_240_280,240,280,-0.3,10.0,1212.43,2311984.01,1762784.74,4074768.75,190690.00,181.0
depot_240_300,240,300,-0.3,10.0,1179.25,2248718.81,1772212.44,4020931.25,190690.00,180.0
depot_240_320,240,320,-0.3,10.0,1275.83,2432882.50,1785605.00,4218487.50,190690.00,187.0
depot_240_340,240,340,-0.3,10.0,1194.24,2277298.36,1793820.39,4071118.75,190690.00,183.0
depot_240_360,240,360,-0.3,10.0,1215.47,2317787.74,1803974.76,4121762.50,190690.00,183.0
depot_240_380,240,380,-0.3,10.0,1198.22,2284881.54,1814068.46,4098950.00,190690.00,184.0
depot_240_400,240,400,-0.3,10.0,1246.38,2376713.52,1824436.48,4201150.00,190690.00,185.0
depot_240_420,240,420,-0.3,10.0,1141.30,2176340.63,1832271.87,4008612.50,190690.00,182.0
depot_240_440,240,440,-0.3,10.0,1194.64,2278062.16,1842787.84,4120850.00,190690.00,186.0
depot_240_460,240,460,-0.3,10.0,1212.39,2311906.65,1847724.60,4159631.25,190690.00,183.0
depot_240_480,240,480,-0.3,10.0,1201.48,2291101.47,1847998.53,4139100.00,190690.00,184.0
depot_260_280,260,280,-0.3,10.0,1156.79,2205873.67,1762588.83,3968462.50,190690.00,179.0
depot_260_300,260,300,-0.3,10.0,1228.56,2342742.50,1774913.75,4117656.25,190690.00,183.0
depot_260_320,260,320,-0.3,10.0,1172.51,2235864.58,1783697.92,4019562.50,190690.00,181.0
depot_260_340,260,340,-0.3,10.0,1202.99,2293974.92,1794025.08,4088000.00,190690.00,181.0
depot_260_360,260,360,-0.3,10.0,1223.08,2332292.17,1804526.58,4136818.75,190690.00,182.0
depot_260_380,260,380,-0.3,10.0,1134.20,2162800.85,1811592.90,3974393.75,190690.00,175.0
depot_260_400,260,400,-0.3,10.0,1248.62,2380995.65,1828366.85,4209362.50,190690.00,189.0
