Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_280,180,280,-0.3,10.0,1114.61,2125451.10,1753586.40,3879037.50,190690.00,179.0
depot_180_300,180,300,-0.3,10.0,1102.83,2102992.10,1760989.15,3863981.25,190690.00,176.0
depot_180_320,180,320,-0.3,10.0,1135.35,2164992.19,1771989.06,3936981.25,190690.00,180.0
depot_180_340,180,340,-0.3,10.0,1143.88,2181262.10,1782181.65,3963443.75,190690.00,183.0
depot_180_360,180,360,-0.3,10.0,1102.26,2101903.79,1788996.21,3890900.00,190690.00,180.0
depot_180_380,180,380,-0.3,10.0,1085.49,2069911.62,1795438.38,3865350.00,190690.00,177.0
depot_180_400,180,400,-0.3,10.0,1078.70,2056966.80,1802908.20,3859875.00,190690.00,178.0
depot_180_420,180,420,-0.3,10.0,1072.55,2045244.41,1808243.09,3853487.50,190690.00,177.0
depot_180_440,180,440,-0.3,10.0,1057.38,2016320.29,1812529.71,3828850.00,190690.00,177.0
depot_180_460,180,460,-0.3,10.0,1038.12,1979585.26,1813220.99,3792806.25,190690.00,173.0
depot_180_480,180,480,-0.3,10.0,1061.63,2024419.31,1814468.19,3838887.50,190690.00,176.0
depot_200_280,200,280,-0.3,10.0,1090.82,2080087.36,1756062.64,3836150.00,190690.00,177.0
depot_200_300,200,300,-0.3,10.0,1070.25,2040863.28,1764261.72,3805125.00,190690.00,174.0
depot_200_320,200,320,-0.3,10.0,1074.14,2048284.67,1775090.33,3823375.00,190690.00,177.0
depot_200_340,200,340,-0.3,10.0,1092.00,2082343.92,1785287.33,3867631.25,190690.00,179.0
depot_200_360,200,360,-0.3,10.0,1113.16,2122679.93,1794226.32,3916906.25,190690.00,179.0
depot_200_380,200,380,-0.3,10.0,1110.56,2117725.99,1802830.26,3920556.25,190690.00,179.0
depot_200_400,200,400,-0.3,10.0,1099.68,2096988.71,1810792.54,3907781.25,190690.00,179.0
depot_200_420,200,420,-0.3,10.0,1090.39,2079265.68,1817565.57,3896831.25,190690.00,179.0
