Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_320,180,320,-0.3,20.0,938.12,3136425.88,2152880.37,5289306.25,334330.00,245.0
depot_180_340,180,340,-0.3,20.0,940.60,3144702.08,2162397.92,5307100.00,334330.00,247.0
depot_180_360,180,360,-0.3,20.0,923.38,3087146.53,2168397.22,5255543.75,334330.00,242.0
depot_180_380,180,380,-0.3,20.0,935.18,3126584.60,2176409.15,5302993.75,334330.00,243.0
depot_180_400,180,400,-0.3,20.0,937.19,3133307.15,2184286.60,5317593.75,334330.00,245.0
depot_180_420,180,420,-0.3,20.0,921.24,3079968.78,2188806.22,5268775.00,334330.00,242.0
depot_180_440,180,440,-0.3,20.0,919.81,3075213.75,2193561.25,5268775.00,334330.00,243.0
depot_180_460,180,460,-0.3,20.0,924.86,3092090.91,2195846.59,5287937.50,334330.00,243.0
depot_180_480,180,480,-0.3,20.0,895.47,2993814.84,2193747.66,5187562.50,334330.00,238.0
depot_200_320,200,320,-0.3,20.0,962.31,3217274.61,2159631.64,5376906.25,334330.00,250.0
depot_200_340,200,340,-0.3,20.0,933.19,3119933.86,2166634.89,5286568.75,334330.00,245.0
depot_200_360,200,360,-0.3,20.0,928.05,3102758.06,2175141.94,5277900.00,334330.00,244.0
depot_200_380,200,380,-0.3,20.0,928.17,3103138.89,2183429.86,5286568.75,334330.00,244.0
depot_200_400,200,400,-0.3,20.0,927.75,3101734.28,2190765.72,5292500.00,334330.00,243.0
depot_200_420,200,420,-0.3,20.0,922.01,3082545.26,2198092.24,5280637.50,334330.00,244.0
depot_200_440,200,440,-0.3,20.0,920.97,3079069.75,2202936.50,5282006.25,334330.00,243.0
depot_200_460,200,460,-0.3,20.0,945.71,3161789.24,2207817.01,5369606.25,334330.00,247.0
depot_200_480,200,480,-0.3,20.0,918.95,3072339.93,2205560.07,5277900.00,334330.00,242.0
depot_220_320,220,320,-0.3,20.0,959.46,3207777.24,2163197.76,5370975.00,334330.00,250.0
depot_220_340,220,340,-0.3,20.0,922.48,3084115.55,2169603.20,5253718.75,334330.00,243.0
depot_220_360,220,360,-0.3,20.0,943.34,3153871.02,2181516.48,5335387.50,334330.00,248.0
depot_220_380,220,380,-0.3,20.0,930.56,3111129.49,2188670.51,5299800.00,334330.00,244.0
depot_220_400,220,400,-0.3,20.0,939.98,3142627.50,2198691.25,5341318.75,334330.00,246.0
depot_220_420,220,420,-0.3,20.0,923.31,3086891.39,2205608.61,5292500.00,334330.00,244.0
depot_220_440,220,440,-0.3,20.0,937.34,3133810.15,2213439.85,5347250.00,334330.00,246.0
depot_220_460,220,460,-0.3,20.0,918.88,3072097.63,2215839.87,5287937.50,334330.00,243.0
depot_220_480,220,480,-0.3,20.0,926.59,3097872.95,2216983.30,5314856.25,334330.00,245.0
depot_240_320,240,320,-0.3,20.0,952.09,3183107.87,2164142.13,5347250.00,334330.00,247.0
depot_240_340,240,340,-0.3,20.0,933.96,3122508.81,2174097.44,5296606.25,334330.00,247.0
depot_240_360,240,360,-0.3,20.0,961.87,3215807.27,2185280.23,5401087.50,334330.00,250.0
depot_240_380,240,380,-0.3,20.0,932.96,3119166.30,2192952.45,5312118.75,334330.00,245.0
depot_240_400,240,400,-0.3,20.0,944.83,3158857.70,2203448.55,5362306.25,334330.00,247.0
depot_240_420,240,420,-0.3,20.0,934.11,3123020.90,2212366.60,5335387.50,334330.00,246.0
depot_240_440,240,440,-0.3,20.0,938.76,3138559.80,2221008.95,5359568.75,334330.00,246.0
depot_240_460,240,460,-0.3,20.0,936.49,3130958.47,2227241.53,5358200.00,334330.00,246.0
depot_240_480,240,480,-0.3,20.0,927.97,3102469.96,2225617.54,5328087.50,334330.00,243.0
depot_260_320,260,320,-0.3,20.0,937.50,3134359.05,2164072.20,5298431.25,334330.00,245.0
depot_260_340,260,340,-0.3,20.0,932.85,3118812.13,2173687.87,5292500.00,334330.00,244.0
depot_260_360,260,360,-0.3,20.0,936.55,3131178.29,2184134.21,5315312.50,334330.00,244.0
depot_260_380,260,380,-0.3,20.0,933.72,3121702.64,2194522.36,5316225.00,334330.00,245.0
depot_260_400,260,400,-0.3,20.0,942.96,3152609.62,2205134.13,5357743.75,334330.00,246.0
depot_260_420,260,420,-0.3,20.0,922.84,3085341.67,2214458.33,5299800.00,334330.00,244.0
depot_260_440,260,440,-0.3,20.0,947.15,3166609.23,2225353.27,5391962.50,334330.00,246.0
depot_260_460,260,460,-0.3,20.0,935.12,3126401.58,2234535.92,5360937.50,334330.00,245.0
depot_260_480,260,480,-0.3,20.0,934.80,3125306.76,2234261.99,5359568.75,334330.00,244.0
depot_280_320,280,320,-0.3,20.0,934.45,3124131.43,2163806.07,5287937.50,334330.00,245.0
depot_280_340,280,340,-0.3,20.0,942.63,3151487.35,2173862.65,5325350.00,334330.00,245.0
depot_280_360,280,360,-0.3,20.0,909.54,3040857.96,2182292.04,5223150.00,334330.00,241.0
depot_280_380,280,380,-0.3,20.0,948.37,3170700.42,2194799.58,5365500.00,334330.00,247.0
depot_280_400,280,400,-0.3,20.0,943.71,3155117.65,2204451.10,5359568.75,334330.00,246.0
depot_280_420,280,420,-0.3,20.0,944.75,3158570.63,2214229.37,5372800.00,334330.00,246.0
depot_280_440,280,440,-0.3,20.0,946.12,3163173.20,2224226.80,5387400.00,334330.00,247.0
depot_280_460,280,460,-0.3,20.0,945.55,3161253.46,2232077.79,5393331.25,334330.00,247.0
depot_280_480,280,480,-0.3,20.0,943.13,3153162.51,2231499.99,5384662.50,334330.00,246.0
