Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_280,180,280,-0.3,10.0,1050.09,2002421.61,1752515.89,3754937.50,190690.00,177.0
depot_180_300,180,300,-0.3,10.0,1114.29,2124837.87,1763324.63,3888162.50,190690.00,180.0
depot_180_320,180,320,-0.3,10.0,1123.99,2143329.66,1772664.09,3915993.75,190690.00,181.0
depot_180_340,180,340,-0.3,10.0,1066.94,2034538.45,1780167.80,3814706.25,190690.00,178.0
depot_180_360,180,360,-0.3,10.0,1151.34,2195490.19,1791678.56,3987168.75,190690.00,185.0
depot_180_380,180,380,-0.3,10.0,1127.14,2149335.58,1797226.92,3946562.50,190690.00,181.0
depot_180_400,180,400,-0.3,10.0,1127.42,2149883.79,1806716.21,3956600.00,190690.00,186.0
depot_180_420,180,420,-0.3,10.0,1093.29,2084792.31,1810670.19,3895462.50,190690.00,182.0
depot_180_440,180,440,-0.3,10.0,1126.83,2148760.87,1816051.63,3964812.50,190690.00,184.0
depot_180_460,180,460,-0.3,10.0,1112.70,2121813.72,1819273.78,3941087.50,190690.00,186.0
depot_180_480,180,480,-0.3,10.0,1084.97,2068937.33,1816943.92,3885881.25,190690.00,181.0
depot_200_280,200,280,-0.3,10.0,1108.18,2113186.98,1759006.77,3872193.75,190690.00,183.0
depot_200_300,200,300,-0.3,10.0,1084.25,2067563.25,1767674.25,3835237.50,190690.00,181.0
depot_200_320,200,320,-0.3,10.0,1092.51,2083306.53,1777024.72,3860331.25,190690.00,181.0
depot_200_340,200,340,-0.3,10.0,1094.32,2086760.56,1785433.19,3872193.75,190690.00,179.0
depot_200_360,200,360,-0.3,10.0,1144.77,2182960.08,1796908.67,3979868.75,190690.00,184.0
depot_200_380,200,380,-0.3,10.0,1058.63,2018701.96,1803304.29,3822006.25,190690.00,179.0
depot_200_400,200,400,-0.3,10.0,1140.72,2175232.77,1815129.73,3990362.50,190690.00,188.0
depot_200_420,200,420,-0.3,10.0,1176.31,2243114.58,1822072.92,4065187.50,190690.00,188.0
depot_200_440,200,440,-0.3,10.0,1093.65,2085475.19,1825499.81,3910975.00,190690.00,184.0
depot_200_460,200,460,-0.3,10.0,1137.07,2168279.76,1829838.99,3998118.75,190690.00,187.0
depot_200_480,200,480,-0.3,10.0,1195.72,2280121.78,1832059.47,4112181.25,190690.00,192.0
depot_220_280,220,280,-0.3,10.0,1027.30,1958964.21,1756279.54,3715243.75,190690.00,171.0
depot_220_300,220,300,-0.3,10.0,1134.03,2162473.06,1771770.69,3934243.75,190690.00,183.0
depot_220_320,220,320,-0.3,10.0,1119.46,2134691.41,1779933.59,3914625.00,190690.00,179.0
depot_220_340,220,340,-0.3,10.0,1131.62,2157881.45,1792787.30,3950668.75,190690.00,186.0
depot_220_360,220,360,-0.3,10.0,1187.79,2264988.64,1802936.36,4067925.00,190690.00,187.0
depot_220_380,220,380,-0.3,10.0,1073.29,2046663.79,1808648.71,3855312.50,190690.00,180.0
depot_220_400,220,400,-0.3,10.0,1115.20,2126572.92,1818620.83,3945193.75,190690.00,182.0
depot_220_420,220,420,-0.3,10.0,1131.03,2156764.20,1827667.05,3984431.25,190690.00,184.0
depot_220_440,220,440,-0.3,10.0,1134.70,2163751.74,1834823.26,3998575.00,190690.00,185.0
depot_220_460,220,460,-0.3,10.0,1081.07,2061500.28,1839437.22,3900937.50,190690.00,186.0
depot_220_480,220,480,-0.3,10.0,1156.37,2205073.17,1840495.58,4045568.75,190690.00,188.0
depot_240_280,240,280,-0.3,10.0,1022.99,1950743.40,1760394.10,3711137.50,190690.00,176.0
depot_240_300,240,300,-0.3,10.0,1002.99,1912608.41,1769785.34,3682393.75,190690.00,175.0
depot_240_320,240,320,-0.3,10.0,1130.33,2155433.88,1783828.62,3939262.50,190690.00,183.0
depot_240_340,240,340,-0.3,10.0,1122.38,2140265.35,1794434.65,3934700.00,190690.00,184.0
depot_240_360,240,360,-0.3,10.0,1089.93,2078390.19,1802472.31,3880862.50,190690.00,180.0
depot_240_380,240,380,-0.3,10.0,1118.93,2133680.47,1814250.78,3947931.25,190690.00,184.0
depot_240_400,240,400,-0.3,10.0,1186.35,2262243.38,1826212.87,4088456.25,190690.00,189.0
depot_240_420,240,420,-0.3,10.0,1100.50,2098535.04,1832058.71,3930593.75,190690.00,181.0
depot_240_440,240,440,-0.3,10.0,1106.25,2109511.44,1842526.06,3952037.50,190690.00,185.0
depot_240_460,240,460,-0.3,10.0,1065.28,2031373.67,1846751.33,3878125.00,190690.00,181.0
depot_240_480,240,480,-0.3,10.0,1076.02,2051868.46,1847244.04,3899112.50,190690.00,182.0
depot_260_280,260,280,-0.3,10.0,1047.71,1997872.29,1762083.96,3759956.25,190690.00,178.0
depot_260_300,260,300,-0.3,10.0,1157.26,2206780.00,1775826.25,3982606.25,190690.00,185.0
depot_260_320,260,320,-0.3,10.0,1060.17,2021640.24,1782572.26,3804212.50,190690.00,178.0
depot_260_340,260,340,-0.3,10.0,1067.00,2034666.91,1791901.84,3826568.75,190690.00,176.0
depot_260_360,260,360,-0.3,10.0,1137.01,2168158.10,1805779.40,3973937.50,190690.00,184.0
depot_260_380,260,380,-0.3,10.0,1119.56,2134896.67,1815315.83,3950212.50,190690.00,183.0
depot_260_400,260,400,-0.3,10.0,1104.50,2106175.14,1826243.61,3932418.75,190690.00,184.0
depot_260_420,260,420,-0.3,10.0,1026.36,1957171.14,1834266.36,3791437.50,190690.00,180.0
depot_260_440,260,440,-0.3,10.0,1131.23,2157143.16,1848275.59,4005418.75,190690.00,188.0
depot_260_460,260,460,-0.3,10.0,1068.61,2037736.85,1854988.15,3892725.00,190690.00,181.0
depot_260_480,260,480,-0.3,10.0,1193.49,2275875.04,1860487.46,4136362.50,190690.00,193.0
depot_280_280,280,280,-0.3,10.0,1042.19,1987354.79,1761651.46,3749006.25,190690.00,177.0
depot_280_300,280,300,-0.3,10.0,1040.41,1983966.57,1770970.93,3754937.50,190690.00,176.0
depot_280_320,280,320,-0.3,10.0,1094.27,2086657.41,1782798.84,3869456.25,190690.00,179.0
depot_280_340,280,340,-0.3,10.0,1127.46,2149947.69,1795702.31,3945650.00,190690.00,185.0
