Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.1,6.0, 900.35, 1199578.65, 1684377.60, 2883956.25, 133234.00,132.0
centre depot-0.1,7.0, 1034.90, 1527497.66, 1726021.09, 3253518.75, 147598.00,146.0
centre depot-0.1,8.0, 1160.68, 1879859.70, 1768771.55, 3648631.25, 161962.00,162.0
centre depot-0.1,9.0, 1239.42, 2185422.46, 1810415.04, 3995837.50, 176326.00,176.0
centre depot-0.1,10.0, 1234.47, 2354006.45, 1851249.80, 4205256.25, 190690.00,189.0
centre depot-0.1,11.0, 1239.09, 2540810.52, 1891201.98, 4432012.50, 205054.00,199.0
centre depot-0.1,12.0, 1208.41, 2651462.91, 1928374.59, 4579837.50, 219418.00,204.0
centre depot-0.1,13.0, 1181.74, 2762699.63, 1966331.62, 4729031.25, 233782.00,210.0
centre depot-0.1,14.0, 1121.14, 2782065.57, 2003084.43, 4785150.00, 248146.00,214.0
centre depot-0.1,15.0, 1055.87, 2771775.25, 2038468.50, 4810243.75, 262510.00,215.0
centre depot-0.1,16.0, 997.47, 2761746.71, 2074959.54, 4836706.25, 276874.00,218.0
centre depot-0.1,17.0, 961.99, 2801680.35, 2110307.15, 4911987.50, 291238.00,219.0
