Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.1,6.0, 905.87, 1206927.27, 1684785.23, 2891712.50, 133234.00,133.0
centre depot-0.1,7.0, 981.72, 1448998.35, 1724676.65, 3173675.00, 147598.00,143.0
centre depot-0.1,8.0, 1121.72, 1816756.97, 1767543.03, 3584300.00, 161962.00,160.0
centre depot-0.1,9.0, 1178.61, 2078203.71, 1809958.79, 3888162.50, 176326.00,175.0
centre depot-0.1,10.0, 1274.60, 2430534.91, 1852740.09, 4283275.00, 190690.00,192.0
centre depot-0.1,11.0, 1259.86, 2583399.77, 1891956.48, 4475356.25, 205054.00,201.0
centre depot-0.1,12.0, 1287.15, 2824235.81, 1931257.94, 4755493.75, 219418.00,210.0
centre depot-0.1,13.0, 1209.66, 2827967.69, 1967676.06, 4795643.75, 233782.00,213.0
centre depot-0.1,14.0, 1158.44, 2874611.39, 2003613.61, 4878225.00, 248146.00,215.0
centre depot-0.1,15.0, 1085.00, 2848230.78, 2039119.22, 4887350.00, 262510.00,216.0
centre depot-0.1,16.0, 1022.29, 2830458.14, 2074685.61, 4905143.75, 276874.00,217.0
centre depot-0.1,17.0, 988.59, 2879145.62, 2111773.13, 4990918.75, 291238.00,222.0
